29785,HELSINQUE-FINL,ZZ,ZZ
29793,HONG KONG-HONG,ZZ,ZZ
29807,HOUSTON-EUA,ZZ,ZZ
29840,JACARTA-INDO,ZZ,ZZ
29866,KINGSTON-JAMA,ZZ,ZZ
29874,KINSHASA-RCON,ZZ,ZZ
29882,KUAITE-KUAI,ZZ,ZZ
29890,KUALA LUMPUR-MALA,ZZ,ZZ
29904,LA PAZ-BOLI,ZZ,ZZ
29912,LAGOS-NIGR,ZZ,ZZ
29947,LIMA-PERU,ZZ,ZZ
29955,LISBOA-PORT,ZZ,ZZ
29971,LONDRES-GBRE,ZZ,ZZ
29980,LOS ANGELES-EUA,ZZ,ZZ
29998,LUANDA-ANGO,ZZ,ZZ
30066,MADRI-ESPA,ZZ,ZZ
30074,MANÁGUA-NICA,ZZ,ZZ
30082,MANILA-FILI,ZZ,ZZ
30090,MAPUTO-MOÇA,ZZ,ZZ
30104,MÉXICO-MEXI,ZZ,ZZ
30112,MIAMI-EUA,ZZ,ZZ
30120,MILÃO-ITAL,ZZ,ZZ
30139,MITSUKAIDO-JAPA,ZZ,ZZ
30147,MONTEVIDÉU-URUG,ZZ,ZZ
30155,MONTREAL-CANA,ZZ,ZZ
30163,MOSCOU-RUSS,ZZ,ZZ
30180,MUNIQUE-RFA,ZZ,ZZ
30198,NAGOYA-JAPA,ZZ,ZZ
30201,NAIROBI-QUEN,ZZ,ZZ
30210,NOVA DELHI-INDI,ZZ,ZZ
30228,NOVA YORK-EUA,ZZ,ZZ
30236,OIZUMI-JAPA,ZZ,ZZ
30244,OSLO-NORG,ZZ,ZZ
30252,OTTAWA-CANA,ZZ,ZZ
30260,PANAMÁ-PANA,ZZ,ZZ
30279,PARAMARIBO-SURI,ZZ,ZZ
30287,PARIS-FRAN,ZZ,ZZ
30309,PEDRO CABALLERO-PARG,ZZ,ZZ
30317,PEQUIM-CHIN,ZZ,ZZ
30325,PORT OF SPAIN-TTOB,ZZ,ZZ
30333,PORTO PRÍNCIPE-HAIT,ZZ,ZZ
30341,PORTO-PORT,ZZ,ZZ
30350,PRAGA-TCHE,ZZ,ZZ
30368,PRAIA-CABO,ZZ,ZZ
30376,PRETÓRIA-RAFS,ZZ,ZZ
30392,QUITO-EQUA,ZZ,ZZ
30406,RABAT-MARR,ZZ,ZZ
30414,RAMALLAH-PALE,ZZ,ZZ
30422,RIADE-ARAB,ZZ,ZZ
30449,ROMA-ITAL,ZZ,ZZ
30457,ROTERDÃ-HOLA,ZZ,ZZ
30465,SALTOS DO GUAIRA-PARG,ZZ,ZZ
30473,STA C LA SIERRA-BOLI,ZZ,ZZ
30481,SANTIAGO-CHIL,ZZ,ZZ
30490,SÃO DOMINGOS-RDOM,ZZ,ZZ
30503,SÃO FRANCISCO-EUA,ZZ,ZZ
30511,SÃO JOSÉ-RICA,ZZ,ZZ
30520,SÃO SALVADOR-ELSA,ZZ,ZZ
30538,SEUL-CORS,ZZ,ZZ
30554,SUZUKA-JAPA,ZZ,ZZ
30562,SYDNEY-AUST,ZZ,ZZ
30570,TAIPÉ-TAIW,ZZ,ZZ
30589,TAKAOKA-JAPA,ZZ,ZZ
30597,TEERÃ-IRAN,ZZ,ZZ
30600,TEGUCIGALPA-HOND,ZZ,ZZ
30619,TEL AVIV-ISRA,ZZ,ZZ
30627,TÓQUIO-JAPA,ZZ,ZZ
30635,TORONTO-CANA,ZZ,ZZ
30643,TOYOHASHI-JAPA,ZZ,ZZ
30708,TUNIS-TUNI,ZZ,ZZ
30724,UEDA-JAPA,ZZ,ZZ
30740,VARSÓVIA-POLO,ZZ,ZZ
30767,VIENA-OSTE,ZZ,ZZ
30783,WASHINGTON-EUA,ZZ,ZZ
30805,WELLINGTON-NZEL,ZZ,ZZ
30821,WINDHOEK-NAMI,ZZ,ZZ
30848,XANGAI-CHIN,ZZ,ZZ
30864,ZURIQUE-SUIC,ZZ,ZZ
30902,HARTFORD-EUA,ZZ,ZZ
30961,FARO-PORT,ZZ,ZZ
39004,MENDONZA-ARGT,ZZ,ZZ
39020,ZAGREB-CROA,ZZ,ZZ
39063,VANCOUVER-CANA,ZZ,ZZ
39080,ATLANTA-EUA,ZZ,ZZ
39160,LIUBLIANA-ESVN,ZZ,ZZ
39306,ISTAMBUL-TURQ,ZZ,ZZ
39322,NICOSIA-CYPR,ZZ,ZZ
